=== Job started: Thu May 28 17:06:47 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-28 17:07:26,966] A new study created in memory with name: rgb
Epoch 19, Val loss: 0.1990, Val F1: 0.9359
Epoch 20, Val loss: 0.2241, Val F1: 0.9264
Epoch 21, Val loss: 0.1873, Val F1: 0.9392
Epoch 22, Val loss: 0.2350, Val F1: 0.9286
[I 2026-05-28 17:18:12,058] Trial 12 pruned. 
Epoch 1, Val loss: 0.7395, Val F1: 0.7223
Epoch 2, Val loss: 0.6450, Val F1: 0.7532
Epoch 3, Val loss: 0.5195, Val F1: 0.8165
Epoch 4, Val loss: 0.3711, Val F1: 0.8626
Epoch 5, Val loss: 0.3465, Val F1: 0.8763
Epoch 6, Val loss: 0.6256, Val F1: 0.7810
Epoch 7, Val loss: 0.2507, Val F1: 0.9130
Epoch 8, Val loss: 0.3102, Val F1: 0.8952
Epoch 9, Val loss: 0.2483, Val F1: 0.9111
Epoch 10, Val loss: 0.2856, Val F1: 0.9033
Epoch 11, Val loss: 0.3496, Val F1: 0.8884
Epoch 12, Val loss: 0.2896, Val F1: 0.9053
[I 2026-05-28 17:19:30,027] Trial 13 finished with value: 0.9129554593836984 and parameters: {'n_conv_blocks': 4, 'base_channels': 128, 'kernels': 'multi_3_5_7_9', 'n_fc_layers': 1, 'fc_hidden': 512, 'dropout': 0.5765368866215962, 'activation': 'silu', 'lr': 0.00010714830470554515}. Best is trial 11 with value: 0.9424147377368609.
Epoch 1, Val loss: 0.6479, Val F1: 0.7571
Epoch 2, Val loss: 0.5300, Val F1: 0.7976
Epoch 3, Val loss: 0.5530, Val F1: 0.7936
Epoch 4, Val loss: 0.9441, Val F1: 0.7027
Epoch 5, Val loss: 0.4221, Val F1: 0.8511
Epoch 6, Val loss: 0.7379, Val F1: 0.7386
Epoch 7, Val loss: 0.3779, Val F1: 0.8654
Epoch 8, Val loss: 0.5984, Val F1: 0.7919
Epoch 9, Val loss: 0.2964, Val F1: 0.8981
Epoch 10, Val loss: 0.3635, Val F1: 0.8670
Epoch 11, Val loss: 0.4916, Val F1: 0.8449
Epoch 12, Val loss: 0.2612, Val F1: 0.9077
Epoch 13, Val loss: 0.7403, Val F1: 0.8015
Epoch 14, Val loss: 0.3031, Val F1: 0.8971
Epoch 15, Val loss: 0.2164, Val F1: 0.9239
Epoch 16, Val loss: 0.2244, Val F1: 0.9220
Epoch 17, Val loss: 0.2678, Val F1: 0.9113
Epoch 18, Val loss: 0.7746, Val F1: 0.8225
Epoch 19, Val loss: 0.6864, Val F1: 0.8202
[I 2026-05-28 17:20:37,788] Trial 14 pruned. 
Epoch 1, Val loss: 0.7435, Val F1: 0.7246
Epoch 2, Val loss: 0.4485, Val F1: 0.8415
Epoch 3, Val loss: 0.3846, Val F1: 0.8577
Epoch 4, Val loss: 0.3070, Val F1: 0.8861
Epoch 5, Val loss: 0.3536, Val F1: 0.8716
Epoch 6, Val loss: 0.2565, Val F1: 0.9151
Epoch 7, Val loss: 0.3161, Val F1: 0.8942
Epoch 8, Val loss: 0.2216, Val F1: 0.9229
Epoch 9, Val loss: 0.2947, Val F1: 0.8934
Epoch 10, Val loss: 0.2527, Val F1: 0.9116
Epoch 11, Val loss: 0.2455, Val F1: 0.9168
Epoch 12, Val loss: 0.2093, Val F1: 0.9264
Epoch 13, Val loss: 0.1843, Val F1: 0.9363
Epoch 14, Val loss: 0.2354, Val F1: 0.9247
Epoch 15, Val loss: 0.1940, Val F1: 0.9371
Epoch 16, Val loss: 0.2549, Val F1: 0.9221
Epoch 17, Val loss: 0.2119, Val F1: 0.9296
Epoch 18, Val loss: 0.2075, Val F1: 0.9347
Epoch 19, Val loss: 0.1861, Val F1: 0.9410
Epoch 20, Val loss: 0.2031, Val F1: 0.9362
Epoch 21, Val loss: 0.2069, Val F1: 0.9436
Epoch 22, Val loss: 0.2127, Val F1: 0.9342
Epoch 23, Val loss: 0.3892, Val F1: 0.8950
Epoch 24, Val loss: 0.2195, Val F1: 0.9320
Epoch 25, Val loss: 0.2541, Val F1: 0.9281
Epoch 26, Val loss: 0.2916, Val F1: 0.9231
