=== Job started: Sun Jun  7 22:18:08 CEST 2026 ===
Node:       rtx6000gpu2
Image type: ms
N trials:   100
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-06-07 22:18:14,200] A new study created in memory with name: ms
Epoch 9, Val loss: 0.1132, Val F1: 0.9661
Epoch 10, Val loss: 0.1094, Val F1: 0.9674
Epoch 11, Val loss: 0.1129, Val F1: 0.9637
Epoch 12, Val loss: 0.1132, Val F1: 0.9618
Epoch 13, Val loss: 0.1223, Val F1: 0.9623
Epoch 14, Val loss: 0.1376, Val F1: 0.9588
Epoch 15, Val loss: 0.1059, Val F1: 0.9671
[I 2026-06-07 22:33:40,327] Trial 22 finished with value: 0.9673836172594973 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_5', 'kernels_block_2': 'multi_3_5_7_9', 'kernels_block_3': 'multi_3_7', 'n_fc_layers': 3, 'fc_hidden': 128, 'dropout': 0.2043733604911227, 'activation': 'silu', 'lr': 0.00013910884949373332}. Best is trial 17 with value: 0.9741023329598113.
Epoch 1, Val loss: 0.3205, Val F1: 0.8817
Epoch 2, Val loss: 0.2518, Val F1: 0.9122
Epoch 3, Val loss: 0.4118, Val F1: 0.8783
Epoch 4, Val loss: 0.2729, Val F1: 0.9030
Epoch 5, Val loss: 0.1432, Val F1: 0.9547
Epoch 6, Val loss: 0.1447, Val F1: 0.9482
Epoch 7, Val loss: 0.1575, Val F1: 0.9477
Epoch 8, Val loss: 0.1727, Val F1: 0.9429
Epoch 9, Val loss: 0.1616, Val F1: 0.9460
Epoch 10, Val loss: 0.1251, Val F1: 0.9594
Epoch 11, Val loss: 0.1444, Val F1: 0.9557
Epoch 12, Val loss: 0.1339, Val F1: 0.9614
Epoch 13, Val loss: 0.1402, Val F1: 0.9605
Epoch 14, Val loss: 0.1285, Val F1: 0.9618
Epoch 15, Val loss: 0.1554, Val F1: 0.9520
Epoch 16, Val loss: 0.1291, Val F1: 0.9618
Epoch 17, Val loss: 0.1351, Val F1: 0.9621
Epoch 18, Val loss: 0.1131, Val F1: 0.9687
Epoch 19, Val loss: 0.1273, Val F1: 0.9610
Epoch 20, Val loss: 0.1640, Val F1: 0.9594
Epoch 21, Val loss: 0.1507, Val F1: 0.9601
Epoch 22, Val loss: 0.1177, Val F1: 0.9660
Epoch 23, Val loss: 0.1376, Val F1: 0.9605
[I 2026-06-07 22:34:49,558] Trial 23 finished with value: 0.9686883726412109 and parameters: {'n_conv_blocks': 3, 'base_channels': 64, 'kernels_block_0': 'single_5', 'kernels_block_1': 'single_3', 'kernels_block_2': 'multi_3_5_7_9', 'n_fc_layers': 2, 'fc_hidden': 128, 'dropout': 0.241094123187949, 'activation': 'silu', 'lr': 0.0002306940374915291}. Best is trial 17 with value: 0.9741023329598113.
Epoch 1, Val loss: 0.8116, Val F1: 0.7173
[I 2026-06-07 22:34:52,641] Trial 24 pruned. 
Epoch 1, Val loss: 1.9285, Val F1: 0.1793
[I 2026-06-07 22:34:55,870] Trial 25 pruned. 
Epoch 1, Val loss: 0.4901, Val F1: 0.8311
Epoch 2, Val loss: 0.3971, Val F1: 0.8625
[I 2026-06-07 22:35:01,998] Trial 26 pruned. 
Epoch 1, Val loss: 0.3370, Val F1: 0.8893
Epoch 2, Val loss: 0.2604, Val F1: 0.9182
Epoch 3, Val loss: 0.2125, Val F1: 0.9321
Epoch 4, Val loss: 0.2447, Val F1: 0.9229
Epoch 5, Val loss: 0.1882, Val F1: 0.9425
Epoch 6, Val loss: 0.1511, Val F1: 0.9562
Epoch 7, Val loss: 0.2164, Val F1: 0.9367
Epoch 8, Val loss: 0.1918, Val F1: 0.9392
Epoch 9, Val loss: 0.1164, Val F1: 0.9630
