=== Job started: Sun May 31 15:15:09 CEST 2026 ===
Node:       rtx6000gpu3
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-31 15:15:15,607] A new study created in memory with name: ms
Epoch 9, Val loss: 0.1974, Val F1: 0.9406
Epoch 10, Val loss: 0.1950, Val F1: 0.9383
Epoch 11, Val loss: 0.2079, Val F1: 0.9398
Epoch 12, Val loss: 0.1780, Val F1: 0.9468
Epoch 13, Val loss: 0.1941, Val F1: 0.9482
Epoch 14, Val loss: 0.2175, Val F1: 0.9392
Epoch 15, Val loss: 0.1895, Val F1: 0.9452
Epoch 16, Val loss: 0.1798, Val F1: 0.9505
Epoch 17, Val loss: 0.1829, Val F1: 0.9499
Epoch 18, Val loss: 0.1671, Val F1: 0.9520
Epoch 19, Val loss: 0.1743, Val F1: 0.9539
Epoch 20, Val loss: 0.1735, Val F1: 0.9507
Epoch 21, Val loss: 0.1901, Val F1: 0.9488
Epoch 22, Val loss: 0.2096, Val F1: 0.9423
Epoch 23, Val loss: 0.1596, Val F1: 0.9582
Epoch 24, Val loss: 0.2023, Val F1: 0.9495
Epoch 25, Val loss: 0.1669, Val F1: 0.9556
Epoch 26, Val loss: 0.1628, Val F1: 0.9528
Epoch 27, Val loss: 0.1959, Val F1: 0.9528
Epoch 28, Val loss: 0.2304, Val F1: 0.9483
[I 2026-05-31 15:24:51,376] Trial 4 finished with value: 0.9581680704780091 and parameters: {'n_conv_blocks': 3, 'base_channels': 16, 'kernels_block_0': 'multi_3_7', 'kernels_block_1': 'multi_3_5_7_9', 'kernels_block_2': 'multi_3_7', 'n_fc_layers': 7, 'fc_hidden': 1024, 'dropout': 0.537437135378311, 'activation': 'silu', 'lr': 0.00019003263616443358}. Best is trial 3 with value: 0.9642786120252798.
Epoch 1, Val loss: 1.4905, Val F1: 0.3668
[I 2026-05-31 15:24:54,112] Trial 5 pruned. 
Epoch 1, Val loss: 0.4323, Val F1: 0.8462
Epoch 2, Val loss: 0.2674, Val F1: 0.9095
Epoch 3, Val loss: 0.2932, Val F1: 0.9012
Epoch 4, Val loss: 0.2553, Val F1: 0.9155
Epoch 5, Val loss: 0.1995, Val F1: 0.9325
Epoch 6, Val loss: 0.2238, Val F1: 0.9329
Epoch 7, Val loss: 0.1876, Val F1: 0.9368
Epoch 8, Val loss: 0.1763, Val F1: 0.9374
Epoch 9, Val loss: 0.1652, Val F1: 0.9436
Epoch 10, Val loss: 0.1433, Val F1: 0.9571
Epoch 11, Val loss: 0.1566, Val F1: 0.9486
Epoch 12, Val loss: 0.1538, Val F1: 0.9526
Epoch 13, Val loss: 0.1685, Val F1: 0.9441
Epoch 14, Val loss: 0.1344, Val F1: 0.9602
Epoch 15, Val loss: 0.1564, Val F1: 0.9499
Epoch 16, Val loss: 0.1373, Val F1: 0.9584
Epoch 17, Val loss: 0.1473, Val F1: 0.9513
Epoch 18, Val loss: 0.1238, Val F1: 0.9614
Epoch 19, Val loss: 0.1723, Val F1: 0.9460
Epoch 20, Val loss: 0.1376, Val F1: 0.9594
Epoch 21, Val loss: 0.1681, Val F1: 0.9523
Epoch 22, Val loss: 0.1683, Val F1: 0.9546
Epoch 23, Val loss: 0.1922, Val F1: 0.9512
