=== Job started: Wed May 27 01:57:41 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-27 01:57:47,011] A new study created in memory with name: rgb
Epoch 5, Val loss: 0.5878, Val F1: 0.7859
Epoch 6, Val loss: 0.5633, Val F1: 0.7966
Epoch 7, Val loss: 0.5850, Val F1: 0.7883
Epoch 8, Val loss: 0.4770, Val F1: 0.8289
[I 2026-05-27 02:01:19,986] Trial 10 pruned. 
Epoch 1, Val loss: 0.6926, Val F1: 0.7262
Epoch 2, Val loss: 0.5393, Val F1: 0.7976
Epoch 3, Val loss: 0.4769, Val F1: 0.8196
Epoch 4, Val loss: 0.4262, Val F1: 0.8467
Epoch 5, Val loss: 0.4101, Val F1: 0.8498
Epoch 6, Val loss: 0.3803, Val F1: 0.8568
Epoch 7, Val loss: 0.3495, Val F1: 0.8708
Epoch 8, Val loss: 0.3507, Val F1: 0.8791
[I 2026-05-27 02:01:34,512] Trial 11 pruned. 
Epoch 1, Val loss: 0.7225, Val F1: 0.7321
Epoch 2, Val loss: 0.5963, Val F1: 0.7739
Epoch 3, Val loss: 0.6808, Val F1: 0.7558
Epoch 4, Val loss: 0.5673, Val F1: 0.7861
Epoch 5, Val loss: 0.5148, Val F1: 0.8106
Epoch 6, Val loss: 0.5251, Val F1: 0.8137
Epoch 7, Val loss: 0.4752, Val F1: 0.8299
Epoch 8, Val loss: 0.4881, Val F1: 0.8211
[I 2026-05-27 02:01:48,554] Trial 12 pruned. 
Epoch 1, Val loss: 0.6925, Val F1: 0.7447
Epoch 2, Val loss: 0.5609, Val F1: 0.7987
Epoch 3, Val loss: 0.4773, Val F1: 0.8302
Epoch 4, Val loss: 0.5780, Val F1: 0.7751
Epoch 5, Val loss: 0.4193, Val F1: 0.8455
Epoch 6, Val loss: 0.4260, Val F1: 0.8434
Epoch 7, Val loss: 0.3302, Val F1: 0.8812
Epoch 8, Val loss: 0.4986, Val F1: 0.8297
[I 2026-05-27 02:02:03,202] Trial 13 pruned. 
Epoch 1, Val loss: 0.6245, Val F1: 0.7578
Epoch 2, Val loss: 0.9770, Val F1: 0.6684
Epoch 3, Val loss: 0.5566, Val F1: 0.8003
Epoch 4, Val loss: 0.4507, Val F1: 0.8245
Epoch 5, Val loss: 1.1994, Val F1: 0.6918
Epoch 6, Val loss: 0.4129, Val F1: 0.8523
Epoch 7, Val loss: 0.7993, Val F1: 0.7712
Epoch 8, Val loss: 0.7142, Val F1: 0.7506
[I 2026-05-27 02:02:17,582] Trial 14 pruned. 
Epoch 1, Val loss: 0.6434, Val F1: 0.7683
Epoch 2, Val loss: 0.7190, Val F1: 0.7414
Epoch 3, Val loss: 0.4575, Val F1: 0.8310
Epoch 4, Val loss: 0.3867, Val F1: 0.8610
Epoch 5, Val loss: 0.3529, Val F1: 0.8723
Epoch 6, Val loss: 0.3384, Val F1: 0.8759
Epoch 7, Val loss: 0.3033, Val F1: 0.8891
Epoch 8, Val loss: 0.2745, Val F1: 0.9040
Epoch 9, Val loss: 0.3161, Val F1: 0.8906
Epoch 10, Val loss: 0.2895, Val F1: 0.8928
Epoch 11, Val loss: 0.2844, Val F1: 0.9039
Epoch 12, Val loss: 0.2390, Val F1: 0.9154
Epoch 13, Val loss: 0.2354, Val F1: 0.9143
Epoch 14, Val loss: 0.2460, Val F1: 0.9126
Epoch 15, Val loss: 0.2306, Val F1: 0.9181
Epoch 16, Val loss: 0.2644, Val F1: 0.9103
Epoch 17, Val loss: 0.2446, Val F1: 0.9186
Epoch 18, Val loss: 0.2268, Val F1: 0.9188
Epoch 19, Val loss: 0.2791, Val F1: 0.9055
Epoch 20, Val loss: 0.3119, Val F1: 0.8947
Epoch 21, Val loss: 0.2209, Val F1: 0.9234
Epoch 22, Val loss: 0.2336, Val F1: 0.9221
Epoch 23, Val loss: 0.2377, Val F1: 0.9238
Epoch 24, Val loss: 0.2506, Val F1: 0.9225
Epoch 25, Val loss: 0.2445, Val F1: 0.9252
[I 2026-05-27 02:03:02,731] Trial 15 pruned. 
Epoch 1, Val loss: 0.6248, Val F1: 0.7661
Epoch 2, Val loss: 0.7051, Val F1: 0.7458
Epoch 3, Val loss: 0.6207, Val F1: 0.7734
Epoch 4, Val loss: 0.4464, Val F1: 0.8407
Epoch 5, Val loss: 0.4095, Val F1: 0.8479
Epoch 6, Val loss: 0.4269, Val F1: 0.8482
Epoch 7, Val loss: 0.4483, Val F1: 0.8344
Epoch 8, Val loss: 0.4013, Val F1: 0.8569
[I 2026-05-27 02:03:16,970] Trial 16 pruned. 
Epoch 1, Val loss: 0.6423, Val F1: 0.7551
Epoch 2, Val loss: 0.4717, Val F1: 0.8261
Epoch 3, Val loss: 0.4038, Val F1: 0.8529
Epoch 4, Val loss: 0.4032, Val F1: 0.8549
Epoch 5, Val loss: 0.3772, Val F1: 0.8569
Epoch 6, Val loss: 0.3407, Val F1: 0.8743
Epoch 7, Val loss: 0.3296, Val F1: 0.8847
Epoch 8, Val loss: 0.3067, Val F1: 0.8905
Epoch 9, Val loss: 0.2844, Val F1: 0.8993
Epoch 10, Val loss: 0.2809, Val F1: 0.9009
Epoch 11, Val loss: 0.2495, Val F1: 0.9110
Epoch 12, Val loss: 0.2831, Val F1: 0.8995
Epoch 13, Val loss: 0.2387, Val F1: 0.9139
Epoch 14, Val loss: 0.3362, Val F1: 0.8833
