=== Job started: Sun Jun  7 22:07:59 CEST 2026 ===
Node:       rtx6000gpu2
Image type: rgb
N trials:   100
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (rgb) ===

=== Tuning rgb ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-06-07 22:08:17,202] A new study created in memory with name: rgb
[I 2026-06-07 22:12:27,181] Trial 4 finished with value: 0.9322999117316391 and parameters: {'n_conv_blocks': 4, 'base_channels': 32, 'kernels_block_0': 'multi_3_5_7_9', 'kernels_block_1': 'multi_3_7', 'kernels_block_2': 'single_5', 'kernels_block_3': 'single_5', 'n_fc_layers': 1, 'fc_hidden': 128, 'dropout': 0.41922935328046007, 'activation': 'silu', 'lr': 0.0005559911590943632}. Best is trial 4 with value: 0.9322999117316391.
Epoch 1, Val loss: 1.4512, Val F1: 0.2606
Epoch 2, Val loss: 1.7307, Val F1: 0.1915
[I 2026-06-07 22:12:31,310] Trial 5 pruned. 
Epoch 1, Val loss: 1.3767, Val F1: 0.3500
Epoch 2, Val loss: 1.1084, Val F1: 0.5416
[I 2026-06-07 22:12:34,820] Trial 6 pruned. 
Epoch 1, Val loss: 1.2206, Val F1: 0.5461
Epoch 2, Val loss: 0.7474, Val F1: 0.7040
Epoch 3, Val loss: 0.7095, Val F1: 0.7626
Epoch 4, Val loss: 0.5471, Val F1: 0.7908
Epoch 5, Val loss: 1.3768, Val F1: 0.6273
Epoch 6, Val loss: 3.1056, Val F1: 0.4202
Epoch 7, Val loss: 2.9578, Val F1: 0.4040
Epoch 8, Val loss: 1.1850, Val F1: 0.7195
Epoch 9, Val loss: 0.3909, Val F1: 0.8602
Epoch 10, Val loss: 1.1760, Val F1: 0.6895
Epoch 11, Val loss: 1.1915, Val F1: 0.7265
Epoch 12, Val loss: 0.4904, Val F1: 0.8462
Epoch 13, Val loss: 1.0474, Val F1: 0.7242
Epoch 14, Val loss: 0.9483, Val F1: 0.7026
[I 2026-06-07 22:12:59,719] Trial 7 finished with value: 0.8602086371990388 and parameters: {'n_conv_blocks': 5, 'base_channels': 64, 'kernels_block_0': 'multi_3_7', 'kernels_block_1': 'single_3', 'kernels_block_2': 'single_3', 'kernels_block_3': 'single_3', 'kernels_block_4': 'multi_3_5', 'n_fc_layers': 1, 'fc_hidden': 64, 'dropout': 0.23917680783384748, 'activation': 'silu', 'lr': 0.0029360821095158196}. Best is trial 4 with value: 0.9322999117316391.
Epoch 1, Val loss: 1.4735, Val F1: 0.3902
Epoch 2, Val loss: 1.2040, Val F1: 0.4332
[I 2026-06-07 22:13:03,760] Trial 8 pruned. 
Epoch 1, Val loss: 1.4464, Val F1: 0.4316
Epoch 2, Val loss: 1.8211, Val F1: 0.3947
[I 2026-06-07 22:13:12,224] Trial 9 pruned. 
Epoch 1, Val loss: 1.2238, Val F1: 0.5604
Epoch 2, Val loss: 0.9637, Val F1: 0.6281
Epoch 3, Val loss: 0.7711, Val F1: 0.7216
Epoch 4, Val loss: 0.7133, Val F1: 0.7396
Epoch 5, Val loss: 0.6678, Val F1: 0.7498
Epoch 6, Val loss: 0.7973, Val F1: 0.7275
Epoch 7, Val loss: 0.6074, Val F1: 0.7857
Epoch 8, Val loss: 0.5584, Val F1: 0.8023
Epoch 9, Val loss: 0.5989, Val F1: 0.7886
Epoch 10, Val loss: 0.5126, Val F1: 0.8178
Epoch 11, Val loss: 0.6197, Val F1: 0.7783
Epoch 12, Val loss: 0.5480, Val F1: 0.8066
Epoch 13, Val loss: 0.5307, Val F1: 0.8095
Epoch 14, Val loss: 0.4995, Val F1: 0.8283
Epoch 15, Val loss: 0.4791, Val F1: 0.8400
Epoch 16, Val loss: 0.4852, Val F1: 0.8335
Epoch 17, Val loss: 0.5057, Val F1: 0.8330
Epoch 18, Val loss: 0.8749, Val F1: 0.7511
Epoch 19, Val loss: 0.5383, Val F1: 0.8270
Epoch 20, Val loss: 0.8915, Val F1: 0.7524
[I 2026-06-07 22:13:47,636] Trial 10 pruned. 
Epoch 1, Val loss: 5.0711, Val F1: 0.2131
[I 2026-06-07 22:13:49,379] Trial 11 pruned. 
Epoch 1, Val loss: 2.0844, Val F1: 0.2167
[I 2026-06-07 22:13:51,101] Trial 12 pruned. 
Epoch 1, Val loss: 1.3730, Val F1: 0.4706
Epoch 2, Val loss: 0.6873, Val F1: 0.7358
Epoch 3, Val loss: 0.9629, Val F1: 0.6581
Epoch 4, Val loss: 1.2730, Val F1: 0.5508
Epoch 5, Val loss: 0.5474, Val F1: 0.8146
Epoch 6, Val loss: 0.8219, Val F1: 0.7111
Epoch 7, Val loss: 1.5237, Val F1: 0.5814
Epoch 8, Val loss: 0.4357, Val F1: 0.8529
Epoch 9, Val loss: 0.5653, Val F1: 0.8194
Epoch 10, Val loss: 0.4798, Val F1: 0.8359
Epoch 11, Val loss: 0.6032, Val F1: 0.8167
Epoch 12, Val loss: 0.6540, Val F1: 0.8185
Epoch 13, Val loss: 0.6626, Val F1: 0.7790
[I 2026-06-07 22:14:14,296] Trial 13 finished with value: 0.8528628031417126 and parameters: {'n_conv_blocks': 5, 'base_channels': 32, 'kernels_block_0': 'single_5', 'kernels_block_1': 'multi_3_7', 'kernels_block_2': 'single_5', 'kernels_block_3': 'single_5', 'kernels_block_4': 'single_3', 'n_fc_layers': 5, 'fc_hidden': 2048, 'dropout': 0.30444244775829193, 'activation': 'silu', 'lr': 0.00025786423215700164}. Best is trial 4 with value: 0.9322999117316391.
Epoch 1, Val loss: 1.3742, Val F1: 0.4987
Epoch 2, Val loss: 1.1753, Val F1: 0.5989
[I 2026-06-07 22:14:19,609] Trial 14 pruned. 
Epoch 1, Val loss: 2.9392, Val F1: 0.1952
[I 2026-06-07 22:14:21,482] Trial 15 pruned. 
Epoch 1, Val loss: 0.8091, Val F1: 0.6917
Epoch 2, Val loss: 0.7170, Val F1: 0.7414
Epoch 3, Val loss: 0.5347, Val F1: 0.7934
Epoch 4, Val loss: 0.6716, Val F1: 0.7575
Epoch 5, Val loss: 0.4353, Val F1: 0.8468
Epoch 6, Val loss: 0.6768, Val F1: 0.7674
Epoch 7, Val loss: 0.6323, Val F1: 0.7926
Epoch 8, Val loss: 0.6418, Val F1: 0.8024
Epoch 9, Val loss: 0.8930, Val F1: 0.7348
Epoch 10, Val loss: 0.5702, Val F1: 0.8203
[I 2026-06-07 22:14:41,211] Trial 16 finished with value: 0.8467593252416986 and parameters: {'n_conv_blocks': 2, 'base_channels': 32, 'kernels_block_0': 'multi_3_7', 'kernels_block_1': 'multi_3_5_7_9', 'n_fc_layers': 3, 'fc_hidden': 2048, 'dropout': 0.27834826020871883, 'activation': 'gelu', 'lr': 0.00036497992786121134}. Best is trial 4 with value: 0.9322999117316391.
Epoch 1, Val loss: 1.2583, Val F1: 0.5509
Epoch 2, Val loss: 0.6217, Val F1: 0.7546
Epoch 3, Val loss: 0.6346, Val F1: 0.7704
Epoch 4, Val loss: 0.5930, Val F1: 0.7946
Epoch 5, Val loss: 0.4164, Val F1: 0.8597
Epoch 6, Val loss: 0.3699, Val F1: 0.8724
Epoch 7, Val loss: 0.3164, Val F1: 0.8953
Epoch 8, Val loss: 0.4130, Val F1: 0.8702
Epoch 9, Val loss: 0.2911, Val F1: 0.8987
Epoch 10, Val loss: 0.3531, Val F1: 0.8768
Epoch 11, Val loss: 0.4878, Val F1: 0.8412
Epoch 12, Val loss: 0.2659, Val F1: 0.9132
Epoch 13, Val loss: 0.2317, Val F1: 0.9251
Epoch 14, Val loss: 0.2497, Val F1: 0.9205
Epoch 15, Val loss: 0.2557, Val F1: 0.9220
Epoch 16, Val loss: 0.2132, Val F1: 0.9342
Epoch 17, Val loss: 0.2843, Val F1: 0.9123
Epoch 18, Val loss: 0.2730, Val F1: 0.9167
Epoch 19, Val loss: 0.2500, Val F1: 0.9173
Epoch 20, Val loss: 0.2930, Val F1: 0.9087
Epoch 21, Val loss: 0.4839, Val F1: 0.8565
