=== Job started: Wed May 27 02:04:47 CEST 2026 ===
Node:       rtx6000gpu3
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-27 02:04:53,725] A new study created in memory with name: ms
Epoch 3, Val loss: 0.1680, Val F1: 0.9436
Epoch 4, Val loss: 0.1888, Val F1: 0.9416
Epoch 5, Val loss: 0.1250, Val F1: 0.9594
Epoch 6, Val loss: 0.1294, Val F1: 0.9558
Epoch 7, Val loss: 0.1014, Val F1: 0.9649
Epoch 8, Val loss: 0.1145, Val F1: 0.9631
Epoch 9, Val loss: 0.1006, Val F1: 0.9657
Epoch 10, Val loss: 0.0908, Val F1: 0.9726
Epoch 11, Val loss: 0.0933, Val F1: 0.9719
Epoch 12, Val loss: 0.1225, Val F1: 0.9603
Epoch 13, Val loss: 0.1118, Val F1: 0.9649
Epoch 14, Val loss: 0.0851, Val F1: 0.9738
Epoch 15, Val loss: 0.0827, Val F1: 0.9741
Epoch 16, Val loss: 0.0982, Val F1: 0.9718
Epoch 17, Val loss: 0.1011, Val F1: 0.9665
Epoch 18, Val loss: 0.1036, Val F1: 0.9679
Epoch 19, Val loss: 0.0798, Val F1: 0.9769
Epoch 20, Val loss: 0.0883, Val F1: 0.9742
Epoch 21, Val loss: 0.0938, Val F1: 0.9721
Epoch 22, Val loss: 0.0880, Val F1: 0.9749
Epoch 23, Val loss: 0.0872, Val F1: 0.9772
Epoch 24, Val loss: 0.0776, Val F1: 0.9772
Epoch 25, Val loss: 0.0858, Val F1: 0.9747
Epoch 26, Val loss: 0.0844, Val F1: 0.9750
Epoch 27, Val loss: 0.0910, Val F1: 0.9757
Epoch 28, Val loss: 0.0834, Val F1: 0.9788
Epoch 29, Val loss: 0.1248, Val F1: 0.9661
Epoch 30, Val loss: 0.0865, Val F1: 0.9739
[I 2026-05-27 02:11:50,626] Trial 11 finished with value: 0.9787679645053176 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'fc_hidden': 64, 'dropout': 0.38050484962955705, 'activation': 'relu', 'lr': 0.00010464622410059469}. Best is trial 11 with value: 0.9787679645053176.
Epoch 1, Val loss: 0.3089, Val F1: 0.9013
Epoch 2, Val loss: 0.2179, Val F1: 0.9247
Epoch 3, Val loss: 0.1674, Val F1: 0.9456
Epoch 4, Val loss: 0.2281, Val F1: 0.9144
Epoch 5, Val loss: 0.1378, Val F1: 0.9539
Epoch 6, Val loss: 0.1388, Val F1: 0.9537
Epoch 7, Val loss: 0.1208, Val F1: 0.9624
Epoch 8, Val loss: 0.0959, Val F1: 0.9681
Epoch 9, Val loss: 0.1502, Val F1: 0.9523
Epoch 10, Val loss: 0.0949, Val F1: 0.9689
Epoch 11, Val loss: 0.1342, Val F1: 0.9568
Epoch 12, Val loss: 0.0939, Val F1: 0.9710
Epoch 13, Val loss: 0.0967, Val F1: 0.9719
Epoch 14, Val loss: 0.0812, Val F1: 0.9738
Epoch 15, Val loss: 0.1059, Val F1: 0.9678
Epoch 16, Val loss: 0.1071, Val F1: 0.9688
Epoch 17, Val loss: 0.0972, Val F1: 0.9703
Epoch 18, Val loss: 0.1006, Val F1: 0.9717
Epoch 19, Val loss: 0.0827, Val F1: 0.9761
Epoch 20, Val loss: 0.0703, Val F1: 0.9805
Epoch 21, Val loss: 0.0912, Val F1: 0.9720
Epoch 22, Val loss: 0.0952, Val F1: 0.9720
Epoch 23, Val loss: 0.0871, Val F1: 0.9772
Epoch 24, Val loss: 0.0821, Val F1: 0.9769
Epoch 25, Val loss: 0.0944, Val F1: 0.9725
[I 2026-05-27 02:12:56,317] Trial 12 finished with value: 0.9804871595774749 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'fc_hidden': 64, 'dropout': 0.38217102063179526, 'activation': 'relu', 'lr': 0.00010200960558027954}. Best is trial 12 with value: 0.9804871595774749.
Epoch 1, Val loss: 0.3717, Val F1: 0.8850
[I 2026-05-27 02:12:59,060] Trial 13 pruned. 
Epoch 1, Val loss: 0.2808, Val F1: 0.9003
Epoch 2, Val loss: 0.2074, Val F1: 0.9302
Epoch 3, Val loss: 0.1675, Val F1: 0.9435
Epoch 4, Val loss: 0.1530, Val F1: 0.9531
Epoch 5, Val loss: 0.1381, Val F1: 0.9550
Epoch 6, Val loss: 0.1546, Val F1: 0.9480
Epoch 7, Val loss: 0.1353, Val F1: 0.9542
Epoch 8, Val loss: 0.1271, Val F1: 0.9605
Epoch 9, Val loss: 0.0938, Val F1: 0.9690
Epoch 10, Val loss: 0.1363, Val F1: 0.9580
Epoch 11, Val loss: 0.1407, Val F1: 0.9554
Epoch 12, Val loss: 0.1083, Val F1: 0.9663
Epoch 13, Val loss: 0.0833, Val F1: 0.9742
Epoch 14, Val loss: 0.0933, Val F1: 0.9673
Epoch 15, Val loss: 0.1096, Val F1: 0.9674
Epoch 16, Val loss: 0.1052, Val F1: 0.9672
Epoch 17, Val loss: 0.1098, Val F1: 0.9709
Epoch 18, Val loss: 0.1083, Val F1: 0.9689
[I 2026-05-27 02:13:45,973] Trial 14 finished with value: 0.974244100571832 and parameters: {'n_conv_blocks': 4, 'base_channels': 64, 'fc_hidden': 64, 'dropout': 0.334516026626006, 'activation': 'relu', 'lr': 0.00010137759481391853}. Best is trial 12 with value: 0.9804871595774749.
Epoch 1, Val loss: 1.3533, Val F1: 0.4402
[I 2026-05-27 02:13:48,501] Trial 15 pruned. 
Epoch 1, Val loss: 0.3206, Val F1: 0.8901
[I 2026-05-27 02:13:51,055] Trial 16 pruned. 
Epoch 1, Val loss: 0.3698, Val F1: 0.8805
[I 2026-05-27 02:13:53,589] Trial 17 pruned. 
Epoch 1, Val loss: 0.2819, Val F1: 0.9025
Epoch 2, Val loss: 0.2267, Val F1: 0.9272
Epoch 3, Val loss: 0.1481, Val F1: 0.9539
Epoch 4, Val loss: 0.1586, Val F1: 0.9427
Epoch 5, Val loss: 0.1517, Val F1: 0.9455
Epoch 6, Val loss: 0.1382, Val F1: 0.9548
Epoch 7, Val loss: 0.1345, Val F1: 0.9560
Epoch 8, Val loss: 0.0952, Val F1: 0.9690
Epoch 9, Val loss: 0.0830, Val F1: 0.9729
Epoch 10, Val loss: 0.0862, Val F1: 0.9706
Epoch 11, Val loss: 0.1055, Val F1: 0.9695
Epoch 12, Val loss: 0.0974, Val F1: 0.9688
Epoch 13, Val loss: 0.1180, Val F1: 0.9641
Epoch 14, Val loss: 0.0807, Val F1: 0.9733
Epoch 15, Val loss: 0.0887, Val F1: 0.9704
Epoch 16, Val loss: 0.0970, Val F1: 0.9661
Epoch 17, Val loss: 0.0859, Val F1: 0.9762
Epoch 18, Val loss: 0.0847, Val F1: 0.9748
Epoch 19, Val loss: 0.0851, Val F1: 0.9748
Epoch 20, Val loss: 0.0767, Val F1: 0.9789
Epoch 21, Val loss: 0.0834, Val F1: 0.9754
Epoch 22, Val loss: 0.0766, Val F1: 0.9777
Epoch 23, Val loss: 0.0832, Val F1: 0.9793
Epoch 24, Val loss: 0.1029, Val F1: 0.9696
Epoch 25, Val loss: 0.1020, Val F1: 0.9758
Epoch 26, Val loss: 0.0775, Val F1: 0.9792
