=== Job started: Thu May 28 16:56:36 CEST 2026 ===
Node:       rtx6000gpu1
Image type: ms
=== Python: Python 3.12.13 | venv active ===
=== Starting hyperparameter tuning (ms) ===

=== Tuning ms ===
Removed 0 bombay files and 0 jakarta files from SeaLake
[I 2026-05-28 16:59:16,043] A new study created in memory with name: ms
[I 2026-05-28 17:08:13,155] Trial 10 finished with value: 0.974552540913859 and parameters: {'n_conv_blocks': 4, 'base_channels': 128, 'kernels': 'multi_3_5_7_9', 'n_fc_layers': 3, 'fc_hidden': 512, 'dropout': 0.48261637753015446, 'activation': 'silu', 'lr': 0.00012182852688883122}. Best is trial 10 with value: 0.974552540913859.
Epoch 1, Val loss: 0.3412, Val F1: 0.8950
Epoch 2, Val loss: 0.2391, Val F1: 0.9177
Epoch 3, Val loss: 0.1872, Val F1: 0.9381
Epoch 4, Val loss: 0.2468, Val F1: 0.9242
Epoch 5, Val loss: 0.1995, Val F1: 0.9312
Epoch 6, Val loss: 0.1568, Val F1: 0.9487
Epoch 7, Val loss: 0.1831, Val F1: 0.9448
Epoch 8, Val loss: 0.1355, Val F1: 0.9554
Epoch 9, Val loss: 0.1242, Val F1: 0.9614
Epoch 10, Val loss: 0.1086, Val F1: 0.9680
Epoch 11, Val loss: 0.1316, Val F1: 0.9567
Epoch 12, Val loss: 0.1222, Val F1: 0.9598
Epoch 13, Val loss: 0.1144, Val F1: 0.9642
Epoch 14, Val loss: 0.1350, Val F1: 0.9580
Epoch 15, Val loss: 0.1403, Val F1: 0.9570
[I 2026-05-28 17:10:00,215] Trial 11 finished with value: 0.9680174422663701 and parameters: {'n_conv_blocks': 4, 'base_channels': 128, 'kernels': 'multi_3_5_7_9', 'n_fc_layers': 3, 'fc_hidden': 512, 'dropout': 0.4858192896927864, 'activation': 'silu', 'lr': 0.00010416359335022514}. Best is trial 10 with value: 0.974552540913859.
Epoch 1, Val loss: 0.3633, Val F1: 0.8793
Epoch 2, Val loss: 0.2950, Val F1: 0.9121
Epoch 3, Val loss: 0.1844, Val F1: 0.9396
Epoch 4, Val loss: 0.1570, Val F1: 0.9450
Epoch 5, Val loss: 0.2033, Val F1: 0.9353
Epoch 6, Val loss: 0.1690, Val F1: 0.9487
Epoch 7, Val loss: 0.1299, Val F1: 0.9568
Epoch 8, Val loss: 0.1303, Val F1: 0.9565
Epoch 9, Val loss: 0.1230, Val F1: 0.9593
Epoch 10, Val loss: 0.1044, Val F1: 0.9692
Epoch 11, Val loss: 0.1338, Val F1: 0.9563
Epoch 12, Val loss: 0.1120, Val F1: 0.9642
Epoch 13, Val loss: 0.0939, Val F1: 0.9703
Epoch 14, Val loss: 0.1092, Val F1: 0.9670
Epoch 15, Val loss: 0.1643, Val F1: 0.9496
Epoch 16, Val loss: 0.0892, Val F1: 0.9731
Epoch 17, Val loss: 0.1181, Val F1: 0.9653
Epoch 18, Val loss: 0.1002, Val F1: 0.9677
Epoch 19, Val loss: 0.1338, Val F1: 0.9621
Epoch 20, Val loss: 0.0922, Val F1: 0.9740
Epoch 21, Val loss: 0.0903, Val F1: 0.9753
Epoch 22, Val loss: 0.1021, Val F1: 0.9684
